1,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(135, 522), (245, 522), (245, 600), (135, 600), (135, 522)]",Airplane
2,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1025, 284), (1125, 284), (1125, 384), (1025, 384), (1025, 284)]",Airplane
3,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1058, 1503), (1130, 1503), (1130, 1568), (1058, 1568), (1058, 1503)]",Airplane
4,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(813, 1518), (885, 1518), (885, 1604), (813, 1604), (813, 1518)]",Airplane
5,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(594, 938), (657, 938), (657, 1012), (594, 1012), (594, 938)]",Airplane
6,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(451, 725), (524, 725), (524, 798), (451, 798), (451, 725)]",Airplane
7,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1543, 1437), (1614, 1437), (1614, 1497), (1543, 1497), (1543, 1437)]",Airplane
8,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1485, 1370), (1561, 1370), (1561, 1437), (1485, 1437), (1485, 1370)]",Airplane
9,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1968, 1624), (2053, 1624), (2053, 1687), (1968, 1687), (1968, 1624)]",Airplane
10,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1659, 1674), (1733, 1674), (1733, 1746), (1659, 1746), (1659, 1674)]",Airplane
11,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1865, 2091), (1951, 2091), (1951, 2165), (1865, 2165), (1865, 2091)]",Airplane
12,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(2052, 1772), (2135, 1772), (2135, 1834), (2052, 1834), (2052, 1772)]",Airplane
13,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(2146, 2031), (2225, 2031), (2225, 2102), (2146, 2102), (2146, 2031)]",Airplane
14,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1006, 2345), (1088, 2345), (1088, 2412), (1006, 2412), (1006, 2345)]",Airplane
15,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1931, 2163), (2009, 2163), (2009, 2247), (1931, 2247), (1931, 2163)]",Airplane
16,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1231, 1532), (1295, 1532), (1295, 1607), (1231, 1607), (1231, 1532)]",Airplane
17,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(740, 1268), (804, 1268), (804, 1356), (740, 1356), (740, 1268)]",Airplane
18,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(645, 1399), (730, 1399), (730, 1458), (645, 1458), (645, 1399)]",Airplane
19,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(607, 1752), (718, 1752), (718, 1867), (607, 1867), (607, 1752)]",Airplane
20,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(906, 2024), (1022, 2024), (1022, 2140), (906, 2140), (906, 2024)]",Airplane
